Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2022-03-19 15:42:10;"Gambe Glutei e Deltoidi";"Front Raise (Cable)";2;20;kg;12;;;;0;;;1h 27m
2022-03-19 15:42:10;"Gambe Glutei e Deltoidi";"Front Raise (Cable)";3;20;kg;12;;;;0;;;1h 27m
2022-03-19 15:42:10;"Gambe Glutei e Deltoidi";"Front Raise (Cable)";4;20;kg;10;;;;0;;;1h 27m
2022-03-21 20:42:45;"Dorsali e Tricipiti";"Pull Up (Assisted)";1;50;kg;12;;;;0;"Aumento da riscaldamento";"Allenamento dorsali, tricipiti e addominali";1h 19m
2022-03-21 20:42:45;"Dorsali e Tricipiti";"Pull Up (Assisted)";2;50;kg;12;;;;0;;;1h 19m
2022-03-21 20:42:45;"Dorsali e Tricipiti";"Pull Up (Assisted)";3;50;kg;10;;;;0;;;1h 19m
2022-03-21 20:42:45;"Dorsali e Tricipiti";"Pull Up (Assisted)";4;50;kg;10;;;;0;;;1h 19m
2022-03-21 20:42:45;"Dorsali e Tricipiti";"Seated Row (Cable)";1;30;kg;20;;;;0;"";;1h 19m
2022-03-21 20:42:45;"Dorsali e Tricipiti";"Seated Row (Cable)";2;50;kg;12;;;;0;;;1h 19m
2022-03-21 20:42:45;"Dorsali e Tricipiti";"Seated Row (Cable)";3;50;kg;12;;;;0;;;1h 19m
2022-03-21 20:42:45;"Dorsali e Tricipiti";"Seated Row (Cable)";4;50;kg;9;;;;0;;;1h 19m
2022-03-21 20:42:45;"Dorsali e Tricipiti";"Lat Pulldown (Cable)";1;30;kg;20;;;;0;"Swappato con seated row (meno rep)";;1h 19m
2022-03-21 20:42:45;"Dorsali e Tricipiti";"Lat Pulldown (Cable)";2;50;kg;12;;;;0;;;1h 19m
2022-03-21 20:42:45;"Dorsali e Tricipiti";"Lat Pulldown (Cable)";3;50;kg;10;;;;0;;;1h 19m
2022-03-21 20:42:45;"Dorsali e Tricipiti";"Lat Pulldown (Cable)";4;50;kg;11;;;;0;;;1h 19m
2022-03-21 20:42:45;"Dorsali e Tricipiti";"Triceps Dip (Assisted)";1;50;kg;15;;;;0;"Continua per un allenamento con 30x12x4";;1h 19m
2022-03-21 20:42:45;"Dorsali e Tricipiti";"Triceps Dip (Assisted)";2;35;kg;12;;;;0;;;1h 19m
2022-03-21 20:42:45;"Dorsali e Tricipiti";"Triceps Dip (Assisted)";3;35;kg;12;;;;0;;;1h 19m
2022-03-21 20:42:45;"Dorsali e Tricipiti";"Triceps Dip (Assisted)";4;35;kg;12;;;;0;;;1h 19m
2022-03-21 20:42:45;"Dorsali e Tricipiti";"Triceps Extension (Dumbbell)";1;8;kg;15;;;;0;"Diminuito, ultimo e stanco";;1h 19m
